"Matomo API","Matomo API"
"Tracking API","Tracking API"
"Enable Tracking","Enable Tracking"
"Yes","Yes"
"No","No"
"Hostname","Hostname"
"Matomo hostname, optionally including a path e.g. matomo.example.com or example.com/matomo","Matomo hostname, optionally including a path e.g. matomo.example.com or example.com/matomo"
"Site ID","Site ID"
"Listed under Settings/Website in your Matomo administration panel","Listed under Settings/Website in your Matomo administration panel"
"Enable Link Tracking","Enable Link Tracking"
"Enable tracking of outlinks and downloads","Enable tracking of outlinks and downloads"
"Link Tracking Timer","Link Tracking Timer"
"Delay for link tracking in milliseconds","Delay for link tracking in milliseconds"
"Enable User ID Tracking","Enable User ID Tracking"
"Customer Entity ID","Customer Entity ID"
"Customer E-mail","Customer E-mail"
"Send logged in customers ID to Matomo","Send logged in customers ID to Matomo"
"Advanced Options","Advanced Options"
"Javascript Path","Javascript Path"
"Path to the Matomo tracker Javascript. Usually ""matomo.js"".","Path to the Matomo tracker Javascript. Usually ""matomo.js""."
"PHP Script Path","PHP Script Path"
"Path to the Matomo tracker PHP script. Usually ""matomo.php"".","Path to the Matomo tracker PHP script. Usually ""matomo.php""."
"CDN Hostname","CDN Hostname"
"Hostname for serving the Matomo tracker Javascript. May be left empty in which case the regular hostname will be used.","Hostname for serving the Matomo tracker Javascript. May be left empty in which case the regular hostname will be used."
