"Matomo API","Matomo API"
"Tracking API","API för spårning"
"Enable Tracking","Aktivera spårning"
"Yes","Ja"
"No","Nej"
"Hostname","Värdnamn"
"Matomo hostname, optionally including a path e.g. matomo.example.com or example.com/matomo","Matomo-värdnamn, alternativt inkluderande sökväg t.ex. matomo.example.com eller example.com/matomo"
"Site ID","Webbplatsens ID"
"Listed under Settings/Website in your Matomo administration panel","Finns att hitta under Inställningar/Webbplatser i Matomos administrationspanel"
"Enable Link Tracking","Aktivera länkspårning"
"Enable tracking of outlinks and downloads","Aktivera spårning av utlänkar och nedladdningar"
"Link Tracking Timer","Länkspårningstimer"
"Delay for link tracking in milliseconds","Fördröjning av länkspårning i millisekunder"
"Enable User ID Tracking","Aktivera spårning av användar-ID"
"Customer Entity ID","Kundens entitets-ID"
"Customer E-mail","Kundens E-postadress"
"Send logged in customers ID to Matomo","Skicka inloggade kunders ID till Matomo"
"Advanced Options","Avancerade inställningar"
"Javascript Path","Sökväg till javascript"
"Path to the Matomo tracker Javascript. Usually ""matomo.js"".","Sökväg till Matomo-spårarens javascript. Vanligtvis ""matomo.js""."
"PHP Script Path","Sökväg till PHP-skript"
"Path to the Matomo tracker PHP script. Usually ""matomo.php"".","Sökväg till Matomo-spårarens PHP-skript. Vanligtvis ""matomo.php""."
"CDN Hostname","CDN-värdnamn"
"Hostname for serving the Matomo tracker Javascript. May be left empty in which case the regular hostname will be used.","Värdnamn för Matomo-spårarens javascript. Lämna tomt för att använda det allmänna värdnamnet."
